x,y,z,nx,ny,nz,curvature,density
26.28089141845703,6.926300525665283,-1.0073397159576416,-0.0,-0.0,-1.0,0.1380530547201569,1.0
26.776809692382812,7.358364582061768,-0.9791831970214844,-0.0,-0.0,-1.0,0.0432439859768449,1.0
26.255859375,6.55893611907959,-0.7466325759887695,-0.2639244834843336,-0.957438960397528,-0.1168524887643763,0.1315996856754849,3.0
26.601449966430664,6.273639678955078,-0.9188022613525392,-0.901941030197692,0.1150771848698983,-0.4162446631109469,0.0692560017786182,3.0
26.01081657409668,6.819267272949219,-0.851710319519043,0.1841795618754922,0.0759458797692741,-0.979954137872494,0.1753717687805216,3.0
27.700212478637695,8.098357200622559,-0.843966007232666,0.1986317005956403,-0.634224972271473,-0.7471975187764833,0.0529510070720672,3.0
27.156463623046875,7.077964782714844,-0.7857785224914551,0.0186463634060876,-0.7422386614276312,-0.6698761696118515,0.1508218570335671,6.0
27.355457305908203,7.4282379150390625,-1.0263724327087402,-0.1309423717115644,0.9878292577733866,-0.0839491082586992,0.0475315611593848,4.0
26.57427978515625,6.791296005249023,-0.7571249008178711,0.6000027190004898,-0.5784937623258256,-0.5525773286537641,0.0851941195721658,4.0
26.9667911529541,6.96444845199585,-0.7835094928741455,-0.1725718570658687,0.6191771973647159,-0.7660538834915029,0.1434242824839645,4.0
27.302677154541016,7.255730628967285,-0.8636229038238525,-0.0,-0.0,-1.0,0.1595280522097525,2.0
26.722881317138672,6.855506896972656,-0.7530121803283691,-0.4899893921660256,-0.1860159993034763,-0.8516504233357121,0.1093559419943273,4.0
27.679637908935547,8.117898941040039,-0.8660225868225098,0.1986317005956403,-0.634224972271473,-0.7471975187764833,0.0573128192605739,3.0
27.115581512451172,7.08492374420166,-0.7869229316711426,-0.3071589348001514,-0.1901110211899671,-0.9324758379682252,0.1372614387328008,6.0
26.75091552734375,7.1959452629089355,-1.0233721733093262,0.8412675546956264,-0.5405078190384662,-0.0109635293004482,0.0612297030569962,3.0
26.25414276123047,6.142841339111328,-0.9878249168395996,-0.0,-0.0,-1.0,0.0916747761916073,2.0
26.334732055664062,6.497637748718262,-0.9796426296234132,0.3819440406890306,0.74609496859684,-0.5453998969715859,0.0744126241505958,3.0
26.072799682617188,6.8806257247924805,-0.8986282348632812,-0.0,-0.0,-1.0,0.2088687285613859,2.0
26.558067321777344,6.140035629272461,-0.9503026008605956,-0.0,-0.0,-1.0,0.036783486382175,2.0
26.330610275268555,6.97601842880249,-0.856450080871582,-0.8388661962781171,-0.5325945078119738,0.1124570806592659,0.1198027298159385,4.0
26.054576873779297,6.809741020202637,-0.8442239761352539,0.2178932552247554,0.2621242173129364,-0.9401135165636332,0.2179544025869133,3.0
27.420459747314453,7.378464698791504,-1.0227901935577393,-0.0,-0.0,-1.0,0.0898061993069541,1.0
26.055389404296875,5.641579627990723,-0.9017577171325684,-0.2686242208619984,0.9022350237099164,-0.3373618086823863,0.0614068200156959,4.0
26.167694091796875,6.775435924530029,-0.8239328861236572,-0.0302747504243502,0.6242432965625979,-0.7806431618757729,0.2032089371527757,5.0
25.75005340576172,8.10995101928711,-1.0337986946105957,-0.0,-0.0,-1.0,0.0698160213500638,1.0
27.3968505859375,5.721791744232178,-0.8327524662017822,-0.0,-0.0,-1.0,0.1696663619922443,2.0
27.166967391967773,7.397555351257324,-1.0252070426940918,-0.0,-0.0,-1.0,0.0849512635170942,1.0
26.12422752380371,6.952076435089111,-0.8474102020263672,-0.0,-0.0,-1.0,0.2255529405080047,1.0
27.42581558227539,5.811591148376465,-0.7954423427581787,-0.0,-0.0,-1.0,0.2387625208698852,1.0
27.464336395263672,5.786520004272461,-0.7737574577331543,-0.0,-0.0,-1.0,0.2671613197362815,1.0
26.1431884765625,6.92889404296875,-0.7974936962127686,-0.0,-0.0,-1.0,0.2194386511624608,2.0
27.09924697875977,7.284137725830078,-0.8375985622406006,-0.0,-0.0,-1.0,0.1343895252242883,2.0
25.68446922302246,6.130849838256836,-0.875002384185791,-0.0,-0.0,-1.0,0.0819115503523468,2.0
27.250465393066406,7.132641792297363,-0.7392053604125977,-0.0,-0.0,-1.0,0.1317004337169464,1.0
26.22048568725586,6.513887405395508,-0.9852752685546876,-0.5346497634958008,0.1551949995812651,-0.8307009946417879,0.0832145911028607,3.0
27.389402389526367,7.264301300048828,-0.8556525707244873,0.4179981191649687,0.0229977470623835,-0.9081567463850078,0.2157852810787439,8.0
27.644184112548828,8.051397323608398,-0.8056573867797852,-0.0,-0.0,-1.0,0.0529510070720673,1.0
27.076709747314453,7.664373397827148,-1.0329980850219729,-0.0,-0.0,-1.0,0.0271545143764912,1.0
25.71086883544922,6.525871276855469,-0.6833009719848633,-0.0,-0.0,-1.0,0.0911825474747267,1.0
27.129070281982425,7.262628555297852,-0.8667511940002441,-0.6775347636673895,0.0676767910300756,-0.7323704636166362,0.1156531724220195,4.0
25.49622344970703,6.170849800109863,-0.9228878021240234,-0.0,-0.0,-1.0,0.0486062902367213,1.0
26.705821990966797,7.601141929626465,-0.9763591289520264,0.4926873408415335,-0.8655832927985085,-0.0895809544634907,0.0809338888804768,3.0
26.14461898803711,6.780714988708496,-0.7798705101013184,0.3078944579672045,0.439857887669062,-0.8436385727362115,0.1077295603016668,3.0
27.555747985839844,7.115932464599609,-1.0365638732910156,-0.0,-0.0,-1.0,0.0602529254849293,1.0
27.69601058959961,7.717735290527344,-0.9975972175598145,-0.0,-0.0,-1.0,0.0710405084644256,1.0
