PLY;Points
cell_10_22.ply;1937
cell_10_23.ply;2636
cell_10_24.ply;3131
cell_10_25.ply;818
cell_10_26.ply;1094
cell_10_27.ply;1083
cell_10_28.ply;807
cell_10_29.ply;1042
cell_10_30.ply;1538
cell_10_31.ply;673
cell_10_32.ply;636
cell_10_33.ply;651
cell_10_34.ply;886
cell_10_35.ply;804
cell_10_36.ply;704
cell_10_37.ply;447
cell_10_38.ply;314
cell_10_39.ply;261
cell_11_1.ply;118
cell_11_2.ply;177
cell_11_3.ply;547
cell_11_4.ply;361
cell_11_5.ply;726
cell_11_6.ply;1214
cell_11_7.ply;1139
cell_11_8.ply;722
cell_11_9.ply;697
cell_11_10.ply;890
cell_11_11.ply;551
cell_11_12.ply;1310
cell_11_13.ply;672
cell_11_14.ply;743
cell_11_15.ply;967
cell_11_16.ply;762
cell_11_17.ply;1433
cell_11_18.ply;1774
cell_11_19.ply;1523
cell_11_20.ply;2054
cell_11_21.ply;1711
cell_11_22.ply;2238
cell_11_23.ply;1288
cell_11_24.ply;1767
cell_11_25.ply;1207
cell_11_26.ply;869
cell_11_27.ply;1306
cell_11_28.ply;849
cell_11_29.ply;1547
cell_11_30.ply;2364
cell_11_31.ply;948
cell_11_32.ply;590
cell_11_33.ply;1022
cell_11_34.ply;714
cell_11_35.ply;608
cell_11_36.ply;371
cell_11_37.ply;483
cell_11_38.ply;768
cell_11_39.ply;247
cell_12_1.ply;13
cell_12_2.ply;251
cell_12_3.ply;335
cell_12_4.ply;490
cell_12_5.ply;798
cell_12_6.ply;671
cell_12_7.ply;707
cell_12_8.ply;865
cell_12_9.ply;916
cell_12_10.ply;907
cell_12_11.ply;922
cell_12_12.ply;766
cell_12_13.ply;1128
cell_12_14.ply;908
cell_12_15.ply;1140
cell_12_16.ply;1404
cell_12_17.ply;1123
cell_12_18.ply;1065
cell_12_19.ply;3184
cell_12_20.ply;1759
cell_12_21.ply;1613
cell_12_22.ply;2453
cell_12_23.ply;2262
cell_12_24.ply;1873
cell_12_25.ply;1527
cell_12_26.ply;1059
cell_12_27.ply;2244
cell_12_28.ply;969
cell_12_29.ply;983
cell_12_30.ply;1064
cell_12_31.ply;894
cell_12_32.ply;977
cell_12_33.ply;663
cell_12_34.ply;473
cell_12_35.ply;623
cell_12_36.ply;694
cell_12_37.ply;495
cell_12_38.ply;229
cell_12_39.ply;272
cell_13_2.ply;72
cell_13_3.ply;306
cell_13_4.ply;379
cell_13_5.ply;450
cell_13_6.ply;603
cell_13_7.ply;1094
cell_13_8.ply;915
cell_13_9.ply;1049
cell_13_10.ply;722
cell_13_11.ply;1265
cell_13_12.ply;1052
cell_13_13.ply;940
cell_13_14.ply;556
cell_13_15.ply;907
cell_13_16.ply;1211
cell_13_17.ply;926
cell_13_18.ply;716
cell_13_19.ply;1303
cell_13_20.ply;2907
cell_13_21.ply;1626
cell_13_22.ply;3148
cell_13_23.ply;1836
cell_13_24.ply;1641
cell_13_25.ply;1558
cell_13_26.ply;1934
cell_13_27.ply;1955
cell_13_28.ply;1355
cell_13_29.ply;1168
cell_13_30.ply;1682
cell_13_31.ply;872
cell_13_32.ply;698
cell_13_33.ply;907
cell_13_34.ply;1264
