//X Y Z Roughness_(0.15893) R G B
19.50110245 3.06697559 0.39814639 0.019265 0 94 160
19.31319046 2.80170441 0.38297892 0.020546 0 100 154
17.70421219 6.27679014 0.31035829 0.017230 0 85 169
17.48593903 5.91369343 0.29384613 nan 204 204 204
17.58430481 6.33342123 0.71213627 0.001738 0 5 249
17.54972839 5.93848228 0.66151929 0.009706 0 47 207
19.38851738 2.71096802 0.84967089 0.024146 0 118 136
31.71223450 -0.92153931 -0.24235082 0.071247 103 255 0
13.96039295 28.43056488 -0.99748492 0.002886 0 11 243
12.83140373 29.45594978 -1.21785092 0.016624 0 83 171
10.99810791 29.38974571 -1.19990611 0.039137 0 193 61
14.00646591 27.30886459 -0.73498750 0.010918 0 53 201
19.45514870 3.01292324 0.16743493 0.023947 0 118 136
20.14610291 16.40760231 0.10807824 0.039499 0 196 58
17.60934258 6.34303093 0.47499681 0.021671 0 106 148
17.59426880 5.98030853 0.82066584 0.006102 0 29 225
17.65490341 6.34657669 0.85656667 0.054516 16 255 0
36.33948517 13.04348373 -0.86536694 0.010657 0 50 204
24.40741348 12.09020424 -0.33289242 0.010279 0 50 204
1.22475529 26.31561089 -1.02545285 0.038880 0 193 61
13.91157722 27.34476280 -0.69586468 0.079609 145 255 0
17.65343094 6.34241581 0.19351697 0.032216 0 160 94
17.61003494 6.42753172 0.62617874 0.069213 91 255 0
17.88154984 6.19474602 0.97427440 nan 204 204 204
17.49274063 6.16484118 1.01991022 0.018969 0 91 163
30.57109070 31.95789337 -2.25617003 0.033254 0 166 88
-2.17439842 36.28356552 -0.68848944 0.023350 0 115 139
18.12070084 9.26700783 -0.30878568 0.034045 0 169 85
22.63751793 5.24308300 -0.27045393 0.056161 25 255 0
48.26333618 -5.58571911 -0.31681561 0.032310 0 160 94
35.35734177 11.89011288 -0.63542747 0.036580 0 181 73
24.35084152 30.51520157 -1.01362491 0.123041 255 146 0
13.13351154 32.51131821 -1.73077369 0.016514 0 80 174
12.69404411 32.62081146 -1.73563695 0.040318 0 199 55
26.73697662 16.91590500 -0.82040811 0.024364 0 121 133
9.84641361 27.23853302 -0.29174566 0.030741 0 151 103
28.89739609 6.52029800 -0.20761681 0.083776 166 255 0
18.85972595 15.80335808 -0.15337491 0.029037 0 142 112
18.17236710 9.52880287 -0.27791834 0.041917 0 208 46
17.89048767 9.33714485 -0.26143622 0.032348 0 160 94
33.17332458 27.12580872 -1.89057207 0.087728 183 255 0
27.08798981 24.64181519 -1.50410938 0.024872 0 121 133
24.34334946 30.27780533 -1.60136104 0.013088 0 65 189
24.19959259 24.03825378 -0.91699839 0.019789 0 97 157
19.10636902 16.39209557 -0.09391260 0.003508 0 14 240
14.74434662 31.14546585 -1.10983229 0.079756 145 255 0
19.22710037 16.45922661 -0.04177618 0.026326 0 130 124
-2.20822525 36.29563522 -0.64406943 0.034065 0 169 85
24.32384491 30.32132721 -1.57667828 0.040283 0 199 55
10.73930645 34.39275360 -1.44279361 nan 204 204 204
30.50595665 5.85961056 -0.41578317 0.075521 124 255 0
21.30508232 16.36550140 -0.36187291 0.033160 0 163 91
20.14925575 16.37602806 -0.12859917 0.013706 0 68 186
24.14287949 30.31834221 -1.57269239 0.006136 0 29 225
1.81701374 33.42013168 -1.30587411 0.025440 0 124 130
21.33410835 16.46968079 -0.36396670 0.016373 0 80 174
34.53431320 30.02808189 -2.02228999 0.032574 0 160 94
24.16315842 30.35232544 -1.69095111 0.031549 0 157 97
29.11463165 6.32185459 -0.45424414 0.043891 0 217 37
21.07291412 16.32134247 -0.46594644 0.033392 0 166 88
20.15067863 16.34391975 -0.29835153 0.035034 0 175 79
19.09131241 16.41106987 -0.10442495 0.002848 0 11 243
18.86449623 15.65115929 -0.16953850 0.027121 0 133 121
26.51441193 15.26676559 -0.91495657 0.030172 0 148 106
35.56079865 11.72640133 -0.53841519 0.079609 145 255 0
31.35635376 7.99422550 -0.45950913 0.019979 0 97 157
20.06242371 16.31806564 -0.34670901 0.016859 0 83 171
18.80802155 15.66131401 -0.23875999 0.001764 0 5 249
-2.24735451 36.27193832 -0.49904895 0.005489 0 26 228
29.87287140 8.06279564 -0.21987891 0.063006 61 255 0
20.84941864 16.29088211 -0.52224660 0.047371 0 235 19
-2.27552414 36.29402161 -0.60584211 0.018402 0 91 163
27.09128189 25.89266777 -1.58762002 0.075263 121 255 0
46.44927979 27.26043129 -2.18775034 0.008236 0 38 216
-2.17880726 36.29880524 -0.68213320 0.038403 0 190 64
27.44360161 24.76823044 -1.51180387 0.038371 0 190 64
-0.52530670 33.46382523 -1.00813627 0.035323 0 175 79
-2.16010952 36.25112915 -0.85052037 0.042597 0 211 43
36.19652557 13.22099972 -0.80989408 0.010541 0 50 204
-1.93716717 36.20384216 -0.99288464 0.012614 0 62 192
37.48857117 17.25312805 -1.38193369 0.026599 0 130 124
26.36528397 23.72628975 -1.13331389 0.067129 82 255 0
24.17182350 30.36721611 -1.57176614 0.014351 0 71 183
26.62379456 23.59141350 -0.96803570 0.005432 0 26 228
22.77903366 5.16342735 -0.24610829 0.080294 148 255 0
22.24339676 4.82542419 -0.23289824 0.041280 0 205 49
19.13282776 16.51813698 0.04595447 0.013088 0 65 189
40.72912979 24.63605499 -1.76556015 0.061408 52 255 0
24.42919159 30.21850967 -1.17693233 0.051070 1 255 0
21.35752487 16.39895058 -0.40469241 0.009398 0 44 210
31.46299744 -1.20395660 -0.26237655 0.017504 0 85 169
-2.03787613 36.30100632 -0.23826098 nan 204 204 204
18.79754639 2.63638878 0.54088247 nan 204 204 204
8.41874313 1.75212097 0.79507124 nan 204 204 204
16.59310913 -9.59026337 1.50250077 0.010888 0 53 201
28.19197083 31.06182861 -2.16668034 0.072548 109 255 0
34.20140839 30.59837723 -2.02443361 0.002721 0 11 243
24.36471176 30.01638985 -1.75565481 0.023893 0 118 136
49.02679062 25.66695023 -2.19398308 0.026494 0 130 124
25.24108505 25.42081833 -1.27706170 nan 204 204 204
24.29486465 30.27951241 -1.19431639 0.008068 0 38 216
43.08590317 19.86206055 -1.72491264 0.010635 0 50 204
44.07002640 24.68454361 -1.64934063 nan 204 204 204
7.97742224 20.99605179 -0.47503901 0.076642 130 255 0
20.82189369 15.87679672 -0.46903539 nan 204 204 204
8.68076038 11.52744102 0.42039657 0.009001 0 44 210
6.41232681 12.49597359 0.55201280 0.015769 0 77 177
17.39739609 2.32190323 0.32826400 nan 204 204 204
28.80185699 30.30124283 -2.08469725 0.014895 0 74 180
17.11529160 3.29801178 0.07805967 nan 204 204 204
32.08145142 11.17845345 -0.78277540 0.014656 0 71 183
34.04082870 12.78873062 -0.96166372 0.053875 13 255 0
37.67480469 17.35690689 -1.34136534 0.004436 0 20 234
8.50894547 11.60171509 0.20854473 0.002056 0 8 246
5.13636494 12.38820076 0.28589225 0.013728 0 68 186
7.72283268 20.44684219 -0.31321716 nan 204 204 204
8.50977612 1.69114685 1.39963388 nan 204 204 204
62.90078354 25.94597435 2.13955045 nan 204 204 204
2.54182816 24.44027901 -0.86172962 nan 204 204 204
24.20219421 24.10181999 -0.89794874 0.026952 0 133 121
7.73023415 21.18831635 -0.50397587 nan 204 204 204
6.10831070 20.28780174 -0.28576708 0.010422 0 50 204
11.13778305 19.66457558 -0.28414392 0.033354 0 166 88
36.63486099 15.74789810 -0.81028008 0.019741 0 97 157
19.68640518 16.23260117 -0.12387347 0.028505 0 142 112
8.96899986 1.80538940 0.70529604 0.035206 0 175 79
16.55673409 -9.64903259 1.43264520 0.024628 0 121 133
23.89709091 26.88644218 -1.30057383 0.036945 0 184 70
15.49888802 20.85260391 -0.70202017 0.026132 0 130 124
11.13020515 19.77650452 -0.23199296 0.035724 0 178 76
29.13422394 3.71954918 -0.20734978 0.066328 76 255 0
21.34630394 16.49833679 -0.37083316 0.069594 94 255 0
9.39641190 1.75234604 0.64085376 0.058079 34 255 0
18.33871651 2.65662384 0.38979793 nan 204 204 204
19.46353912 2.96481323 0.35311389 0.019268 0 94 160
17.03470993 -9.70413589 1.23375821 0.041820 0 208 46
17.17398834 -44.04612732 3.10815334 0.001541 0 5 249
27.43912506 24.70971870 -1.52145672 0.001047 0 2 252
24.54645157 23.68016434 -1.01763153 0.108170 255 221 0
5.05939913 12.60602951 0.32181358 0.023761 0 118 136
8.82321930 11.75144768 0.30839157 0.055188 19 255 0
65.48184204 32.62099838 -1.14849234 nan 204 204 204
6.25399160 12.41240692 0.33417392 0.012404 0 59 195
19.81934738 -32.07558060 2.57757163 0.036994 0 184 70
-1.78426266 36.04955292 -1.23155427 0.084908 171 255 0
30.60352135 31.88938713 -2.26297903 0.013037 0 62 192
7.52720165 21.96451378 -0.53179765 nan 204 204 204
26.28131866 23.60298729 -1.10298991 0.056390 28 255 0
43.50138092 15.58257294 -1.55257750 0.022947 0 112 142
9.52609253 17.85335922 -0.34317017 0.048292 0 241 13
12.41290474 21.57902145 -0.43640494 0.005280 0 23 231
15.31856632 21.51606941 -0.61213136 0.002125 0 8 246
36.02310944 13.30879021 -0.87959337 0.000277 0 0 255
32.66297913 11.26929665 -0.67536116 0.089632 195 255 0
12.02847767 -2.83824921 0.69356525 0.092295 207 255 0
-2.10795593 36.14348984 -0.82874775 0.065607 73 255 0
8.10753822 21.05875015 -0.49000359 0.062521 58 255 0
9.64111996 20.96148872 -0.45826483 0.045006 0 223 31
17.10943794 21.14318085 -0.91191030 0.016506 0 80 174
18.33346558 21.81229401 -0.95198536 0.022244 0 109 145
20.05086708 22.81926346 -1.07104349 0.082179 157 255 0
27.52202988 24.90029526 -1.55369234 0.043268 0 214 40
19.63963699 19.58528900 -0.70293093 0.080958 151 255 0
6.60988665 12.75957489 0.25094366 0.014237 0 68 186
18.20402908 2.53295517 0.43219733 0.042084 0 208 46
16.81880951 -9.42524147 1.27897108 0.005246 0 23 231
-2.20828152 36.30105591 -0.54135418 0.037518 0 187 67
6.42384863 20.12895584 -0.38022900 0.035322 0 175 79
6.69349241 19.97878265 -0.38982773 0.045976 0 229 25
6.71167040 20.21950531 0.11948800 0.027315 0 136 118
25.48677444 28.61678886 -1.21012712 0.008846 0 41 213
21.14923668 16.27349472 -0.45962453 0.021056 0 103 151
27.41108322 16.30947876 -0.73885012 0.008257 0 38 216
20.20434189 -32.09116745 2.01266909 0.006279 0 29 225
-2.11334801 36.29306030 -0.71459699 0.035522 0 175 79
2.71299171 17.24006271 -0.20128441 0.063590 64 255 0
3.23069096 17.03133011 -0.19520926 0.048526 0 241 13
2.64856434 20.68758011 -0.29292607 0.033879 0 169 85
6.50116491 20.28521729 -0.40717578 0.041574 0 208 46
17.00924492 9.00974846 -0.27487278 0.008396 0 41 213
17.62322617 9.37899017 -0.27924657 0.080035 145 255 0
18.17688370 9.57929611 -0.30073118 0.044980 0 223 31
22.60827637 5.21368217 -0.27072001 0.033932 0 169 85
9.30403042 1.67887878 1.30343759 0.034772 0 172 82
18.85427856 3.21434784 0.82460415 0.010368 0 50 204
-2.04401684 36.26650620 -0.78127766 0.001503 0 5 249
5.15687656 12.42145348 0.21105504 0.056174 25 255 0
6.93460560 12.32697868 0.20513010 0.018758 0 91 163
13.20748711 16.52238464 -0.27342749 0.007935 0 38 216
12.58045959 18.29705429 0.12950754 0.007279 0 35 219
20.17584229 16.41895294 -0.04130101 0.015335 0 74 180
31.75748825 -1.04754257 -0.22340250 0.022287 0 109 145
19.16621017 3.69334412 1.03959954 0.053051 10 255 0
9.63539982 17.86052895 -0.13333058 0.016364 0 80 174
5.97298527 12.26478291 0.38952374 0.026869 0 133 121
7.95518303 7.99547386 0.59453809 0.023287 0 115 139
9.00685120 11.60902786 0.30799055 0.026587 0 130 124
20.20386887 16.32598877 -0.25167274 0.025198 0 124 130
21.26396179 16.41063118 -0.40360832 0.017071 0 83 171
8.78031349 1.77878761 0.88774848 0.069580 94 255 0
20.10596466 16.38976669 0.23272395 0.045279 0 226 28
34.75942230 12.84800243 -0.87394881 0.031183 0 154 100
13.02353382 -23.37673187 2.48795629 0.044039 0 220 34
26.55090332 23.61397552 -1.04020882 0.005867 0 26 228
20.13461685 16.31523132 -0.22321630 0.011400 0 56 198
21.33634758 16.41716003 -0.38508296 0.009847 0 47 207
34.89130020 12.75992775 -0.96391892 0.004402 0 20 234
35.82934952 13.55268669 -1.04725957 0.011749 0 56 198
20.10709763 16.32816696 0.20532489 0.000486 0 0 255
11.86539268 -2.93443680 0.92854702 0.013201 0 65 189
9.17079544 1.71771431 1.31592822 0.009176 0 44 210
19.16802406 3.79876709 0.85182214 0.033502 0 166 88
3.20189190 17.35836601 -0.25563216 0.027004 0 133 121
3.63986683 21.26904869 -0.27222753 0.009886 0 47 207
4.93213654 12.43511295 0.41430008 0.037542 0 187 67
5.17707157 12.16702747 0.39097655 0.009203 0 44 210
17.68850517 9.40446854 -0.28741693 0.040518 0 202 52
18.19253731 9.55456543 -0.30836296 0.040913 0 202 52
30.22920418 16.05812073 -1.30311751 0.025801 0 127 127
6.22237015 12.39695930 0.44967902 0.053247 10 255 0
7.86615944 7.58236313 0.53738725 0.016025 0 80 174
6.72905922 12.54256344 0.48063612 0.010180 0 50 204
8.32317734 7.41507721 0.51171017 0.004756 0 23 231
8.71382809 11.66686726 0.39678800 0.053182 10 255 0
9.01898861 11.53649521 0.38032711 0.061679 52 255 0
20.17564011 16.27414894 -0.31108451 0.000875 0 2 252
20.08836174 16.34017181 0.10060024 0.042997 0 214 40
18.81887436 -7.60677147 0.60958624 0.005648 0 26 228
19.14391518 3.54236031 1.09601903 nan 204 204 204
2.82984352 17.29179192 -0.23107529 0.042842 0 214 40
3.15870476 16.88147736 -0.22278929 0.038945 0 193 61
10.22464943 14.19406128 -0.29645514 0.007071 0 32 222
5.99798107 13.76404095 0.26944637 0.039261 0 196 58
6.61819744 12.72783279 0.18229699 0.015107 0 74 180
7.99902153 14.84558678 0.08914733 0.029354 0 145 109
17.87308502 9.80989075 -0.34268856 0.026531 0 130 124
10.69976234 3.98044014 0.46958351 0.028865 0 142 112
21.26275826 16.32810402 -0.40949607 0.018868 0 91 163
8.97617722 -2.43377876 0.87543392 0.020635 0 100 154
12.19136715 -3.20776749 0.70240188 0.026073 0 127 127
20.12491417 16.32079124 -0.19657063 0.017633 0 85 169
7.77213764 7.89253426 0.87410772 0.016289 0 80 174
19.20019722 16.39610672 -0.02729440 0.020185 0 100 154
26.13585091 1.55643654 0.08092904 0.059481 43 255 0
32.84390259 4.33157349 -0.45395207 0.043125 0 214 40
20.11271477 16.31086349 0.15026689 0.030775 0 151 103
19.01051521 3.73626328 0.78629315 0.047290 0 235 19
