Elapsed Time (s),Train Loss
0.6521143913269043,0.6170976850010405
1.1304295063018799,0.6026207024619084
1.6232941150665283,0.5908869288911756
2.118195056915283,0.5810982156919953
2.5981850624084473,0.5724420587488469
3.0789129734039307,0.5660090214454088
3.5719234943389893,0.5620178428272273
4.0616090297698975,0.5614487416792235
4.544562339782715,0.5598934900840656
5.031432151794434,0.5600887905031242
5.506231784820557,0.5593097893983726
6.00327467918396,0.55590773588859
6.502466678619385,0.5552310735587306
6.993895530700684,0.5534551783696117
7.476433277130127,0.5512891715805003
7.968195676803589,0.5498306527233764
8.459222793579102,0.5468117802735143
8.94918942451477,0.5440982852206134
9.444496631622314,0.5416251284964133
9.934739351272583,0.537684202594245
10.430670976638794,0.5335206413429056
10.922883749008179,0.5294105970619509
11.404938220977783,0.5262219061787496
11.890389442443848,0.5227195580533687
12.37066102027893,0.5200536915119862
12.86126446723938,0.5117624130025006
13.355443239212036,0.5084125099566159
13.830545902252197,0.502096305757561
14.326016664505005,0.4956212363787145
14.80389666557312,0.4906252150567586
15.303257942199707,0.4860836737507942
15.807925939559937,0.48065135102944084
16.294392585754395,0.4756942791426742
16.764604330062866,0.4694010077306888
17.233767986297607,0.46613360331362524
17.71464228630066,0.4625041524835881
18.205313205718994,0.46197219402998085
18.8120756149292,0.4568422058684714
19.31964111328125,0.452166473505481
19.797894954681396,0.4504542518782136
20.29601001739502,0.4399578811338284
20.779709815979004,0.4382448858462724
21.247005701065063,0.43529234876568684
21.72042989730835,0.42966411297753354
22.226969480514526,0.4241865983345365
22.727506399154663,0.4177514024628889
23.234261751174927,0.4160206803939486
23.73534917831421,0.40528027443277753
24.215551614761353,0.39673704208943666
24.7030930519104,0.39270827934245933
25.22415852546692,0.3804231254046395
25.717822074890137,0.36789010975184855
26.206926822662354,0.35893829476913347
26.701860427856445,0.34567938815027277
27.201103925704956,0.33178854388678636
27.698493242263794,0.32052042600292485
28.201645612716675,0.30129639294323507
28.698965787887573,0.28846482382524735
29.17851996421814,0.2724343886311422
29.661315441131592,0.26124680502302694
30.134451627731323,0.24766440509549723
30.616311073303223,0.23905389660956874
31.10620403289795,0.22997946527180255
31.594408988952637,0.22419334388019255
