x,y,z,nx,ny,nz,curvature,density,label
13.398046493530273,-2.784857988357544,0.42119669914245605,-0.0,-0.0,-1.0,0.20579453073811602,1.0,1
13.006300926208496,-4.077235221862793,0.808377742767334,-0.0,-0.0,-1.0,0.17653012189199163,1.0,1
14.320122718811035,-2.5485076904296875,0.22450637817382812,0.405933981534037,-0.24941533740156255,-0.8792096405890854,0.22176348072101626,4.0,1
14.560133934020996,-2.2644519805908203,0.4553769826889038,-0.0,-0.0,-1.0,0.09381579472909471,1.0,1
15.100593566894531,-2.012876510620117,0.0349726676940918,-0.8536028628314445,-0.038183015361646186,-0.5195230600308851,0.029033266571982252,6.0,1
14.876333236694336,-2.6779117584228516,0.11446142196655273,-0.0,-0.0,-1.0,0.12428763828738595,2.0,1
14.902530670166016,-2.773146629333496,0.15157556533813477,-0.0,-0.0,-1.0,0.11440631676640611,1.0,1
15.124464988708496,-1.9802722930908203,0.028184175491333008,-0.7612852909186847,0.10246864418570935,-0.6402693829862527,0.07991425283758347,6.0,1
12.97398567199707,-2.2261643409729004,0.25892889499664307,-0.0,-0.0,-1.0,0.08503380245079516,1.0,1
13.399049758911133,-2.357417106628418,1.0650116205215454,-0.0,-0.0,-1.0,0.10575880507032924,1.0,2
15.187192916870117,-2.8223800659179688,0.08562767505645752,-0.0,-0.0,-1.0,0.1224240844726916,1.0,1
14.999210357666016,-2.2327423095703125,0.07997071743011475,-0.9021430183567195,-0.2082582102696011,-0.3778445345450044,0.09804711021838977,3.0,1
14.820363998413086,-2.404116630554199,0.15668737888336182,-0.0,-0.0,-1.0,0.10586163573788654,1.0,1
14.800244331359863,-2.962405204772949,0.2056971788406372,-0.31190304333630053,-0.9096193726514555,0.27442501426569393,0.18814861620281254,5.0,1
14.612406730651855,-2.2748522758483887,0.182861328125,-0.0,-0.0,-1.0,0.14935682517505974,1.0,1
14.416046142578125,-2.6064891815185547,0.14204847812652588,-0.0,-0.0,-1.0,0.18559206222361066,1.0,1
14.565665245056152,-2.4488120079040527,0.24784088134765625,-0.0,-0.0,-1.0,0.23558676327400116,2.0,1
14.206805229187012,-2.1886091232299805,0.16865003108978271,-0.0,-0.0,-1.0,0.12667305093849207,1.0,1
14.386239051818848,-2.5083162784576416,0.16191816329956055,-0.0,-0.0,-1.0,0.1266217832750324,2.0,1
14.27132511138916,-2.162656307220459,0.11554837226867676,0.8767764811306025,-0.0662418758390372,-0.4763139888997218,0.08408133569698911,4.0,1
14.91504192352295,-2.981257438659668,0.5688714981079102,-0.0,-0.0,-1.0,0.24731541480437305,1.0,1
13.689091682434082,-4.195676803588867,0.860306978225708,0.08066233059507219,0.9949390697566315,0.05991523925329842,0.23417557843528217,4.0,1
15.04214096069336,-2.8911361694335938,0.2629704475402832,-0.0,-0.0,-1.0,0.11506185430042941,2.0,1
15.196534156799316,-2.0142688751220703,0.0370330810546875,-0.0,-0.0,-1.0,0.0718168631931441,2.0,1
14.301307678222656,-2.6581192016601562,0.323148250579834,-0.0,-0.0,-1.0,0.13586810929511986,2.0,1
14.818490028381348,-3.1335792541503906,0.2613344192504883,0.03707072058820954,0.7968597869393483,-0.6030259046127684,0.23474423333452193,3.0,1
14.796045303344727,-3.085111618041992,0.38700222969055176,0.18838335124273486,0.28457901662450313,-0.9399609014589848,0.21526219724941184,4.0,1
14.365111351013184,-2.667080879211426,0.4575462341308594,-0.8615849021398871,0.06310735254936493,-0.5036754098214556,0.12343382837424022,5.0,1
12.72728443145752,-4.044529914855957,0.30579495429992676,-0.0,-0.0,-1.0,0.10521982122170266,1.0,1
